date,country,state,city,zip,age,sex,scam_type,reported_amount_usd,population
2025-11-02,US,CA,Los Angeles,90012,62,F,Imposter,1800,39538223
2025-11-04,US,CA,San Diego,92101,34,M,Phishing,240,39538223
2025-11-07,US,CA,San Jose,95112,28,F,Account Takeover,1200,39538223
2025-11-10,US,CA,San Francisco,94102,45,M,Tech Support,600,39538223
2025-11-12,US,NY,New York,10001,71,F,Imposter,2200,20201249
2025-11-12,US,NY,Buffalo,14202,39,M,Phishing,180,20201249
2025-11-14,US,NY,Albany,12207,52,F,Investment,5000,20201249
2025-11-15,US,TX,Houston,77002,58,M,Imposter,950,30503301
2025-11-16,US,TX,Dallas,75201,23,F,Job Scam,300,30503301
2025-11-18,US,TX,Austin,78701,33,M,Account Takeover,900,30503301
2025-11-19,US,FL,Miami,33130,41,F,Romance,2500,22610726
2025-11-20,US,FL,Orlando,32801,29,M,Phishing,150,22610726
2025-11-23,US,FL,Tampa,33602,67,F,Imposter,1200,22610726
2025-12-01,US,IL,Chicago,60602,55,M,Investment,8000,12518071
2025-12-02,US,IL,Chicago,60603,37,F,Phishing,220,12518071
2025-12-03,US,WA,Seattle,98101,46,M,Tech Support,420,7812880
2025-12-04,US,WA,Spokane,99201,31,F,Imposter,700,7812880
2025-12-05,US,MA,Boston,02108,63,F,Imposter,1100,7029917
2025-12-06,US,MA,Boston,02109,22,M,Account Takeover,650,7029917
2025-12-07,US,NV,Las Vegas,89101,44,F,Phishing,190,3194176
2025-12-08,US,AZ,Phoenix,85004,36,M,Job Scam,0,7431344
2025-12-09,US,GA,Atlanta,30303,49,F,Imposter,1600,11029227
2025-12-10,US,CO,Denver,80202,27,M,Phishing,130,5877610
2025-12-11,US,PA,Philadelphia,19107,60,F,Investment,12000,13002700
2025-12-12,US,PA,Pittsburgh,15219,42,M,Tech Support,500,13002700
2025-12-13,US,NJ,Newark,07102,35,F,Account Takeover,1400,9288994
2025-12-14,US,NC,Charlotte,28202,52,M,Imposter,800,10701022
2025-12-15,US,MI,Detroit,48226,66,F,Romance,3200,10077331
2025-12-16,US,OH,Columbus,43215,24,M,Phishing,90,11799448
2025-12-17,US,VA,Richmond,23219,57,F,Imposter,950,8715698
2025-12-18,US,MD,Baltimore,21201,40,M,Account Takeover,1000,6177224
2025-12-19,US,OR,Portland,97204,30,F,Tech Support,350,4233358
2025-12-20,US,MN,Minneapolis,55401,48,M,Imposter,600,5737915
2025-12-21,US,UT,Salt Lake City,84111,38,F,Phishing,120,3468680
2025-12-22,US,WI,Milwaukee,53202,59,M,Investment,6500,5910955
2025-12-23,US,MO,St. Louis,63101,43,F,Imposter,780,6154913
2026-01-02,CA,ON,Toronto,,33,F,Phishing,210,
2026-01-03,CA,BC,Vancouver,,61,M,Imposter,900,
2026-01-05,GB,,London,,29,F,Account Takeover,400,
2026-01-07,AU,NSW,Sydney,,45,M,Investment,2500,
2026-01-08,SG,,Singapore,,52,F,Imposter,1200,
